ID,Latitude,Longitude,VH,VV,date,.geo
226,13.816,39.553,-13.445088049733249,-10.330016169044502,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.55303656085498,13.815998593225705]}"
227,13.855,39.605,-18.645053714602483,-14.75636817163327,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.60504289633729,13.855026363108234]}"
228,13.934,39.596,-23.457595304978675,-17.151523935897693,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.5959909293514,13.933982076584511]}"
229,13.958,39.597,-24.227713548784383,-14.882992889919375,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.5969784545903,13.958030315916595]}"
294,13.939,39.597,-18.823294182560524,-12.808471755819934,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.59702219932513,13.939042851409614]}"
295,13.995,39.467,-19.866885807228673,-14.000801065672752,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.46697790417119,13.995024166108097]}"
296,14.008,39.53,-16.428808082395342,-8.375276829405225,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.52997251966564,14.008005136872216]}"
297,14.011,39.536,-17.628182038434105,-10.842517645714874,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.53599841892878,14.010975628615876]}"
298,14.028,39.596,-16.034785203222008,-13.985298908377104,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.59595515962952,14.028014557962074]}"
309,12.518,39.495,-17.74148507098769,-12.163355678724376,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.49500098079335,12.518011012946962]}"
310,12.518,39.499,-18.66562006477257,-16.01633593489439,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.498958609302996,12.518003702466391]}"
311,12.519,39.5,-20.61343952783026,-14.094190654068935,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.49997294047069,12.518996519915548]}"
312,12.596,39.526,-14.938019244449332,-14.297148204153403,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.525992135403094,12.595990472901805]}"
313,12.597,39.526,-16.17463433576811,-11.51566220485462,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.52599416299928,12.596985159982639]}"
314,12.598,39.527,-19.009232060954982,-13.809555960492355,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.52700891549222,12.597977853334752]}"
315,13.693,39.603,-18.101647315747268,-14.288829627410877,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.60296170480796,13.6930039259355]}"
316,13.693,39.613,-15.821227704184045,-14.788331726726616,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.6130413502799,13.692979168284374]}"
317,13.693,39.617,-16.7537161269567,-9.764519859036614,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.617017718657365,13.692969288624967]}"
318,13.701,39.628,-16.861971768193293,-11.133930580105408,2017-10-07,"{""geodesic"":false,""type"":""Point"",""coordinates"":[39.628043432792616,13.700988704149518]}"
